doi,name,series,caption,AA_des,YS,UTS,temper,elong,flag,flag_note
10.1007/s11837-016-1896-z,Al-2Cu,5000,"Minimum toughness, UTS and minimum elongation of Al-2Cu/Saffil composite samples with different Saffil short fiber volume fractions ranging from 0 vol.% to 40 vol.%",,,133,,13,FALSE,
10.1007/s11837-016-1896-z,Al-Sc-Zr/4%,5000,"Minimum toughness, UTS and minimum elongation of Al-2Cu/Saffil composite samples with different Saffil short fiber volume fractions ranging from 0 vol.% to 40 vol.%",,,196,,9.7,FALSE,
10.1007/s11837-016-1896-z,Al-Sc-Zr,5000,"Minimum toughness, UTS and minimum elongation of Al-2Cu/Saffil composite samples with different Saffil short fiber volume fractions ranging from 0 vol.% to 40 vol.%",,,164,,26.9,FALSE,
10.1007/s11837-016-1896-z,AA5083-H131,5000,"Minimum toughness, UTS and minimum elongation of Al-2Cu/Saffil composite samples with different Saffil short fiber volume fractions ranging from 0 vol.% to 40 vol.%",5083,,310,H131,12,FALSE,
10.1007/s11837-016-1896-z,AA6061-T6,5000,"Minimum toughness, UTS and minimum elongation of Al-2Cu/Saffil composite samples with different Saffil short fiber volume fractions ranging from 0 vol.% to 40 vol.%",6061,,310,T6,12,FALSE,
10.1016/j.ijfatigue.2013.10.012,70.3,5000,Mechanical properties of 5083-H111 aluminium alloy.,5083,161,302,H111,20,FALSE,
10.1016/j.msea.2007.01.121,5083ZM,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5083,253,410,,19,FALSE,
10.1016/j.msea.2007.01.121,5083-O,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5083,145,290,,22,FALSE,
10.1016/j.msea.2007.01.121,5083-H343,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5083,280,360,H343,8,FALSE,
10.1016/j.msea.2007.01.121,5086-O,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5086,115,260,,22,FALSE,
10.1016/j.msea.2007.01.121,5086-H34,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5086,255,325,H34,10,FALSE,
10.1016/j.msea.2007.01.121,5052-O,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5052,90,195,,25,FALSE,
10.1016/j.msea.2007.01.121,5052-H38,5000,The room-temperature mechanical properties of 5083ZM alloys in the extruded state and typical 5000-series alloys with different tempers,5052,255,270,H38,7,FALSE,
10.1016/j.jmatprotec.2005.02.078,5083/native material,5000,Mechanical properties of the native material and welded joints of Al-Mg alloys (average value from two to four replicates),5083,270,346,,19.7,FALSE,
10.1016/j.jmatprotec.2005.02.078,5083/FSW,5000,Mechanical properties of the native material and welded joints of Al-Mg alloys (average value from two to four replicates),5083,238.3,322.2,,10.4,FALSE,
10.1016/j.jmatprotec.2005.02.078,5059/native material,5000,Mechanical properties of the native material and welded joints of Al-Mg alloys (average value from two to four replicates),5059,280,401,,16.2,FALSE,
10.1016/j.jmatprotec.2005.02.078,5059/FSW,5000,Mechanical properties of the native material and welded joints of Al-Mg alloys (average value from two to four replicates),5059,278.4,367.3,,12.7,FALSE,
10.1016/j.jmatprotec.2005.02.078,5059/MIG,5000,Mechanical properties of the native material and welded joints of Al-Mg alloys (average value from two to four replicates),5059,192.7,296.6,,7.6,FALSE,
10.1007/s11661-014-2330-1,"Strain rate, s-1",5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,5.5,5.5,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg alloy,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,107,180,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg alloy,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,180,220,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg alloy,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,88,195,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg alloy,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,94,193,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg-TiO2,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,149,211,,,FALSE,
10.1007/s11661-014-2330-1,Al-Mg-TiO2,5000,"Effect of Pretreatment, FSP, and Strain Rate on the Tensile Properties of Al-Mg Alloy and Al-Mg-TiO2 Nanocomposite",,163,248,,,FALSE,
10.1007/s10853-009-3742-y,AZ31,5000,Results of tensile testing of AZ31 and AZ31-1.5 vol.%Al2O3/0.079 AA5052 macrocomposite,5052,172,263,,10.4,FALSE,
